Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Kazakhstan,KAZ,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14053.3829076703,12427.734875121,11627.6190410341,11830.7079083138,12184.8962301354,12168.9784493607,12405.8543296164,13260.0849789214,15288.0848182295,16937.5366022976,18224.1077560375,19582.7789382208,20428.6429141053,21650.7104544755,22921.1075584861,22263.7444502584,23577.2845507516,23852.0904455509,24233.991513503,25498.6037682555,27955.6850918338,28863.1945316268,30699.5288673811,29197.7764401118,29400.5048935365,29419.0364134509,30234.6809593053,30920.899128933,29734.552301628,30149.2580958149,..
Kenya,KEN,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3988.76690279543,3901.54799418802,3761.25341306272,3589.91630885473,3613.41385717841,3725.16823719923,3836.53146261661,3771.85798357728,3806.42495376555,3771.7941490882,3696.70759382578,3718.87680991661,3634.13830571746,3625.13318954624,3706.18608520138,3839.03267289471,3958.75298656581,4099.62736345982,4001.99854015903,3499.85461832515,3712.24427322236,3892.1971780214,3931.84781137608,3954.74131013718,4076.23509795733,4242.15396902395,4730.48658967458,4779.36311883455,4967.6073359263,5114.73911723069,4992.66108938712,5270.71455052707,5431.03116204446,..
Kiribati,KIR,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4732.25693338095,..,..
"Korea, Dem. People's Rep.",PRK,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16012.9077531644,17586.2952121071,18471.3070643219,19603.8222785497,21228.807794969,22858.3623058461,24147.7761469584,24890.9442663748,22815.5921141828,25080.9485692977,26481.7870229561,27320.957250652,29508.0619579232,30139.4377396725,31310.5950799884,32001.7847611968,33102.6349462916,34808.9595758813,34677.0930712972,35353.9241735751,37713.7523802243,38034.0610060721,38941.7373149711,40255.3335143566,41400.044713138,43783.1884750241,45534.8886753225,46902.4928696205,47437.2646044721,47438.3917352166,47399.804034455,49118.1238970179,48871.1444795002,49726.4532697918
Kosovo,XKX,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7415.30886509549,7595.29719344518,7989.4516778898,8531.06398207579,8708.5221020046,9045.93076892788,9350.53013683022,9985.48165670362,10564.7243330313,11074.5333952461,11377.7436292524,12043.7299301505,11413.431353618,12597.8647636959,13184.6989397718,13799.9439783023
Kuwait,KWT,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58124.0616558156,..,..
Kyrgyz Republic,KGZ,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4624.09728149514,4619.63878824302,4929.94553262689,5208.4911580955,5390.56667452457,5496.93686758708,5539.09496360558,5707.47892246997,5908.0429119493,5715.03240178918,5500.53215204747,5412.22941525312,5822.80716981954,..
Lao PDR,LAO,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7649.12511064731,..,..
Latvia,LVA,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10531.2420875766,10875.2787121123,11590.0993818726,12689.9539858797,13145.797311181,13838.329149259,15047.0814362056,16131.6967985516,17636.0925229437,19154.909942363,21592.8537018112,24122.9597972573,27570.2935324837,27310.3807063667,25783.3478137278,23744.5207173607,24959.4555000647,26408.9644117043,27461.4633961857,28212.3382318093,29482.3462255693,31121.8856416848,32491.8302748546,33973.7031380481,34655.5085747716,34543.1741094197,36094.9843555362,37623.0954594927,..
